player,team,goals,assists,points,penalties,pim
Lorin Grüter,ZSC Lions,0,0,0,0,0
Louis Wehrli,EHC Biel-Bienne,0,0,0,0,0
Loïc Mukuna,Genève-Servette HC,0,0,0,0,0
Luca Hollenstein,HC Davos,0,0,0,0,0
Lucas Rötheli,EHC Biel-Bienne,0,0,0,0,0
Lucien Lehmann,EV Zug,0,0,0,0,0
Ludovic Hauser,Fribourg-Gottéron,0,0,0,0,0
Ludvig Claesson,HC Davos,0,0,0,0,0
Luis Janett,EHC Biel-Bienne,0,0,0,0,0
Manuel von Rohr,EHC Biel-Bienne,0,0,0,0,0
Marc Bissig,HC Lugano,0,0,0,0,0
